scope,precinct_norm,district,weight
congressional,CHARLESTON - CHARLESTON 12,6,1.000000000000
congressional,CHARLESTON - CHARLESTON 13,6,1.000000000000
congressional,CHARLESTON - CHARLESTON 14,6,1.000000000000
congressional,CHARLESTON - CHARLESTON 15,1,0.001812904964
congressional,CHARLESTON - CHARLESTON 15,6,0.998187095036
congressional,CHARLESTON - CHARLESTON 16,6,1.000000000000
congressional,CHARLESTON - CHARLESTON 17,6,1.000000000000
congressional,CHARLESTON - CHARLESTON 18,6,1.000000000000
congressional,CHARLESTON - CHARLESTON 19,6,1.000000000000
congressional,CHARLESTON - CHARLESTON 2,6,1.000000000000
congressional,CHARLESTON - CHARLESTON 20,6,1.000000000000
congressional,CHARLESTON - CHARLESTON 21,6,1.000000000000
congressional,CHARLESTON - CHARLESTON 3,6,1.000000000000
congressional,CHARLESTON - CHARLESTON 4,6,1.000000000000
congressional,CHARLESTON - CHARLESTON 5,6,1.000000000000
congressional,CHARLESTON - CHARLESTON 6,6,1.000000000000
congressional,CHARLESTON - CHARLESTON 7,6,1.000000000000
congressional,CHARLESTON - CHARLESTON 8,6,1.000000000000
congressional,CHARLESTON - CHARLESTON 9,6,1.000000000000
congressional,KERSHAW - CHARLOTTE THOMPSON,5,1.000000000000
congressional,CHESTERFIELD - CHERAW NO. 1,7,1.000000000000
congressional,CHESTERFIELD - CHERAW NO. 2,7,1.000000000000
congressional,CHESTERFIELD - CHERAW NO. 3,7,1.000000000000
congressional,CHESTERFIELD - CHERAW NO. 4,7,1.000000000000
congressional,SPARTANBURG - CHEROKEE SPRINGS FIRE STATION,5,1.000000000000
congressional,HORRY - CHERRY GROVE 1,7,1.000000000000
congressional,HORRY - CHERRY GROVE 2,7,1.000000000000
congressional,SUMTER - CHERRYVALE,5,1.000000000000
congressional,SPARTANBURG - CHESNEE ELEMENTARY,5,1.000000000000
congressional,CHESTER - CHESTER WARD 1,5,1.000000000000
congressional,CHESTER - CHESTER WARD 2,5,1.000000000000
congressional,CHESTER - CHESTER WARD 3,5,1.000000000000
congressional,CHESTER - CHESTER WARD 4,5,1.000000000000
congressional,CHESTER - CHESTER WARD 5,5,1.000000000000
congressional,GREENVILLE - CHESTNUT HILLS,4,1.000000000000
congressional,SPARTANBURG - CHESTNUT LAKE,4,1.000000000000
congressional,ANDERSON - CHIQUOLA MILL,3,1.000000000000
congressional,GEORGETOWN - CHOPPEE,7,1.000000000000
congressional,CHARLESTON - CHRIST CHURCH,1,1.000000000000
congressional,GREENVILLE - CIRCLE CREEK,3,0.000195528136
congressional,GREENVILLE - CIRCLE CREEK,4,0.999804471864
congressional,GREENWOOD - CIVIC CENTER,3,1.000000000000
congressional,MCCORMICK - CLARKS HILL,3,1.000000000000
congressional,FLORENCE - CLAUSSEN,7,1.000000000000
congressional,GREENVILLE - CLEAR CREEK,4,1.000000000000
congressional,DORCHESTER - CLEMSON,1,1.000000000000
congressional,PICKENS - CLEMSON,3,1.000000000000
congressional,DORCHESTER - CLEMSON 2,1,1.000000000000
congressional,DORCHESTER - CLEMSON 3,1,0.999999997929
congressional,DORCHESTER - CLEMSON 3,6,0.000000002071
congressional,SPARTANBURG - CLIFTON GLENDALE,4,1.000000000000
congressional,MARLBORO - CLIO,7,1.000000000000
congressional,YORK - CLOVER,5,1.000000000000
congressional,DORCHESTER - COASTAL,1,1.000000000000
congressional,DORCHESTER - COASTAL 2,1,1.000000000000
congressional,DORCHESTER - COASTAL 3,1,1.000000000000
congressional,HORRY - COASTAL CAROLINA,7,1.000000000000
congressional,HORRY - COASTAL LANE 1,7,1.000000000000
congressional,HORRY - COASTAL LANE 2,7,1.000000000000
congressional,BERKELEY - COBBLESTONE,1,1.000000000000
congressional,GREENWOOD - COKESBURY,3,1.000000000000
congressional,ABBEVILLE - COLD SPRINGS,3,1.000000000000
congressional,LEXINGTON - COLDSTREAM,2,1.000000000000
congressional,FLORENCE - COLES CROSSROADS,7,1.000000000000
congressional,RICHLAND - COLLEGE PLACE,6,1.000000000000
congressional,BAMBERG - COLSTON,6,1.000000000000
congressional,ANDERSON - CONCRETE,3,1.000000000000
congressional,GREENVILLE - CONESTEE,4,1.000000000000
congressional,LEXINGTON - CONGAREE 2,2,1.000000000000
congressional,LEXINGTON - CONGAREE 1,2,1.000000000000
congressional,NEWBERRY - CONSOLIDATED NUMBER 5,3,1.000000000000
congressional,SPARTANBURG - CONVERSE,4,1.000000000000
congressional,SPARTANBURG - CONVERSE FIRE STATION,4,0.791919181335
congressional,SPARTANBURG - CONVERSE FIRE STATION,5,0.208080818665
congressional,HORRY - COOL SPRINGS,7,1.000000000000
congressional,SPARTANBURG - COOLEY SPRINGS BAPTIST,5,1.000000000000
congressional,RICHLAND - COOPER,2,1.000000000000
congressional,DORCHESTER - COOSAW,1,0.999638195019
congressional,DORCHESTER - COOSAW,6,0.000361804981
congressional,DORCHESTER - COOSAW 2,1,1.000000000000
congressional,DORCHESTER - COOSAW 3,1,1.000000000000
congressional,JASPER - COOSAWHATCHIE,6,1.000000000000
congressional,ORANGEBURG - COPE,2,1.000000000000
congressional,BERKELEY - CORDESVILLE,1,1.000000000000
congressional,ORANGEBURG - CORDOVA 1,2,1.000000000000
congressional,ORANGEBURG - CORDOVA 2,2,1.000000000000
congressional,SPARTANBURG - CORNERSTONE BAPTIST,4,1.000000000000
congressional,GREENWOOD - CORONACA,3,1.000000000000
congressional,COLLETON - COTTAGEVILLE,6,1.000000000000
congressional,YORK - COTTON BELT,5,1.000000000000
congressional,CHESTERFIELD - COURTHOUSE,7,1.000000000000
congressional,FLORENCE - COWARD 1,7,1.000000000000
congressional,FLORENCE - COWARD 2,7,1.000000000000
congressional,SPARTANBURG - COWPENS,5,1.000000000000
congressional,ANDERSON - COXS CREEK,3,1.000000000000
congressional,ANDERSON - CRAYTONVILLE,3,1.000000000000
congressional,HORRY - CRESCENT,7,1.000000000000
congressional,YORK - CRESCENT,5,1.000000000000
congressional,PICKENS - CRESCENT HILL,3,1.000000000000
congressional,CALHOUN - CRESTON,6,1.000000000000
congressional,PICKENS - CRESTVIEW,3,1.000000000000
congressional,HAMPTON - CROCKETVILLE-MILEY,6,1.000000000000
congressional,SPARTANBURG - CROFT BAPTIST,4,1.000000000000
congressional,LEXINGTON - CROMER,2,1.000000000000
congressional,BERKELEY - CROSS,1,1.000000000000
congressional,SPARTANBURG - CROSS ANCHOR FIRE STATION,4,1.000000000000
congressional,UNION - CROSS KEYS,5,1.000000000000
congressional,PICKENS - CROSSROADS,3,1.000000000000
congressional,PICKENS - CROSSWELL,3,0.999491449215
congressional,PICKENS - CROSSWELL,4,0.000508550785
congressional,SUMTER - CROSSWELL,5,0.002456823498
congressional,SUMTER - CROSSWELL,6,0.997543176502
congressional,SPARTANBURG - CUDD MEMORIAL,4,1.000000000000
congressional,HAMPTON - CUMMINGS,6,1.000000000000
congressional,BERKELEY - CYPRESS,1,1.000000000000
congressional,DORCHESTER - CYPRESS,1,0.833598540575
congressional,DORCHESTER - CYPRESS,6,0.166401459425
congressional,LEE - CYPRESS,5,0.999873970586
congressional,LEE - CYPRESS,7,0.000126029414
congressional,DORCHESTER - CYPRESS 2,1,1.000000000000
congressional,SPARTANBURG - D. R. HILL MIDDLE SCHOOL,4,1.000000000000
congressional,PICKENS - DACUSVILLE,3,0.998316276480
congressional,PICKENS - DACUSVILLE,4,0.001683723520
congressional,HORRY - DAISY,7,1.000000000000
congressional,SUMTER - DALZELL 1,5,1.000000000000
congressional,SUMTER - DALZELL 2,5,1.000000000000
congressional,BERKELEY - DANIEL ISLAND 1,1,1.000000000000
congressional,BERKELEY - DANIEL ISLAND 2,1,0.994447566086
congressional,BERKELEY - DANIEL ISLAND 2,6,0.005552433914
congressional,BERKELEY - DANIEL ISLAND 3,1,0.996753654930
congressional,BERKELEY - DANIEL ISLAND 3,6,0.003246345070
congressional,BERKELEY - DANIEL ISLAND 4,1,1.000000000000
congressional,SPARTANBURG - DANIEL MORGAN TECHNOLOGY CENTER,4,1.000000000000
congressional,GREENVILLE - DARBY RIDGE,4,1.000000000000
congressional,DARLINGTON - DARLINGTON NO. 1,7,1.000000000000
congressional,DARLINGTON - DARLINGTON NO. 2,7,1.000000000000
